Date,Price
2017-09-14,0.001385
2017-09-15,0.000861
2017-09-16,0.000869
2017-09-17,0.000864
2017-09-18,0.000844
2017-09-19,0.000936
2017-09-20,0.000874
2017-09-21,0.000848
2017-09-22,0.000755
2017-09-23,0.000772
2017-09-24,0.000953
2017-09-25,0.000893
2017-09-26,0.001140
2017-09-27,0.001152
2017-09-28,0.001142
2017-09-29,0.001096
2017-09-30,0.001107
2017-10-01,0.001160
2017-10-02,0.001050
2017-10-03,0.001054
2017-10-04,0.001032
2017-10-05,0.001017
2017-10-06,0.000953
2017-10-07,0.001043
2017-10-08,0.001014
2017-10-09,0.001073
2017-10-10,0.001002
2017-10-11,0.000955
2017-10-12,0.001012
2017-10-13,0.001054
2017-10-14,0.001022
2017-10-15,0.001049
2017-10-16,0.001023
2017-10-17,0.001145
2017-10-18,0.001082
2017-10-19,0.001113
2017-10-20,0.001021
2017-10-21,0.001021
2017-10-22,0.001024
2017-10-23,0.001025
2017-10-24,0.001057
2017-10-25,0.001100
2017-10-26,0.001033
2017-10-27,0.001062
2017-10-28,0.000980
2017-10-29,0.000977
2017-10-30,0.001165
2017-10-31,0.001104
2017-11-01,0.001159
2017-11-02,0.001144
2017-11-03,0.001134
2017-11-04,0.001083
2017-11-05,0.001183
2017-11-06,0.001182
2017-11-07,0.001130
2017-11-08,0.001147
2017-11-09,0.001269
2017-11-10,0.001422
2017-11-11,0.001178
2017-11-12,0.001145
2017-11-13,0.001076
2017-11-14,0.001123
2017-11-15,0.001190
2017-11-16,0.001383
2017-11-17,0.001412
2017-11-18,0.001390
2017-11-19,0.001324
2017-11-20,0.001365
2017-11-21,0.001385
2017-11-22,0.001377
2017-11-23,0.001820
2017-11-24,0.002005
2017-11-25,0.001893
2017-11-26,0.002067
2017-11-27,0.001998
2017-11-28,0.001996
2017-11-29,0.002362
2017-11-30,0.002130
2017-12-01,0.002155
2017-12-02,0.002289
2017-12-03,0.002201
2017-12-04,0.002249
2017-12-05,0.002478
2017-12-06,0.002549
2017-12-07,0.002734
2017-12-08,0.002959
2017-12-09,0.002772
2017-12-10,0.002635
2017-12-11,0.002523
2017-12-12,0.002822
2017-12-13,0.003144
2017-12-14,0.003450
2017-12-15,0.003656
2017-12-16,0.003711
2017-12-17,0.005859
2017-12-18,0.006082
2017-12-19,0.006374
2017-12-20,0.005679
2017-12-21,0.006747
2017-12-22,0.007358
2017-12-23,0.005985
2017-12-24,0.007114
2017-12-25,0.008525
2017-12-26,0.008820
2017-12-27,0.009553
2017-12-28,0.008944
2017-12-29,0.008239
2017-12-30,0.009241
2017-12-31,0.007810
2018-01-01,0.009117
2018-01-02,0.008797
2018-01-03,0.009217
2018-01-04,0.009224
2018-01-05,0.009608
2018-01-06,0.012484
2018-01-07,0.014456
2018-01-08,0.016574
2018-01-09,0.015103
2018-01-10,0.013456
2018-01-11,0.013011
2018-01-12,0.011438
2018-01-13,0.012813
2018-01-14,0.012583
2018-01-15,0.011529
2018-01-16,0.009896
2018-01-17,0.007037
2018-01-18,0.007524
2018-01-19,0.007881
2018-01-20,0.007883
2018-01-21,0.008536
2018-01-22,0.007152
2018-01-23,0.006774
2018-01-24,0.006673
2018-01-25,0.006663
2018-01-26,0.007606
2018-01-27,0.007229
2018-01-28,0.007406
2018-01-29,0.007583
2018-01-30,0.007027
2018-01-31,0.006055
2018-02-01,0.006012
2018-02-02,0.005035
2018-02-03,0.004480
2018-02-04,0.005143
2018-02-05,0.004399
2018-02-06,0.003484
2018-02-07,0.004334
2018-02-08,0.004313
2018-02-09,0.004532
2018-02-10,0.005028
2018-02-11,0.004999
2018-02-12,0.005002
2018-02-13,0.005476
2018-02-14,0.005661
2018-02-15,0.006759
2018-02-16,0.007340
2018-02-17,0.007081
2018-02-18,0.007103
2018-02-19,0.006517
2018-02-20,0.006724
2018-02-21,0.007275
2018-02-22,0.006732
2018-02-23,0.006249
2018-02-24,0.006721
2018-02-25,0.006371
2018-02-26,0.006186
2018-02-27,0.006376
2018-02-28,0.006309
2018-03-01,0.006069
2018-03-02,0.006234
2018-03-03,0.005480
2018-03-04,0.005329
2018-03-05,0.005407
2018-03-06,0.005198
2018-03-07,0.004614
2018-03-08,0.004011
2018-03-09,0.004039
2018-03-10,0.004117
2018-03-11,0.004000
2018-03-12,0.004185
2018-03-13,0.004027
2018-03-14,0.003979
2018-03-15,0.003532
2018-03-16,0.003570
2018-03-17,0.003512
2018-03-18,0.003328
2018-03-19,0.003165
2018-03-20,0.003482
2018-03-21,0.003659
2018-03-22,0.003672
2018-03-23,0.003538
2018-03-24,0.003520
2018-03-25,0.003509
2018-03-26,0.003466
2018-03-27,0.003280
2018-03-28,0.003127
2018-03-29,0.003159
2018-03-30,0.002832
2018-03-31,0.002743
2018-04-01,0.002800
2018-04-02,0.002713
2018-04-03,0.002800
2018-04-04,0.003023
2018-04-05,0.002728
2018-04-06,0.002753
2018-04-07,0.002707
2018-04-08,0.002814
2018-04-09,0.002827
2018-04-10,0.002757
2018-04-11,0.003081
2018-04-12,0.003344
2018-04-13,0.003767
2018-04-14,0.003968
2018-04-15,0.004100
2018-04-16,0.004583
2018-04-17,0.004587
2018-04-18,0.004724
2018-04-19,0.005399
2018-04-20,0.005828
2018-04-21,0.005872
2018-04-22,0.005423
2018-04-23,0.005505
2018-04-24,0.005561
2018-04-25,0.005842
2018-04-26,0.005102
2018-04-27,0.005581
2018-04-28,0.005419
2018-04-29,0.005565
2018-04-30,0.005471
2018-05-01,0.005315
2018-05-02,0.005178
2018-05-03,0.005388
2018-05-04,0.005552
2018-05-05,0.005260
2018-05-06,0.005191
2018-05-07,0.004992
2018-05-08,0.004917
2018-05-09,0.005262
2018-05-10,0.005006
2018-05-11,0.004768
2018-05-12,0.004292
2018-05-13,0.004277
2018-05-14,0.004498
2018-05-15,0.004520
2018-05-16,0.004575
2018-05-17,0.004438
2018-05-18,0.004158
2018-05-19,0.004227
2018-05-20,0.004182
2018-05-21,0.004549
2018-05-22,0.004234
2018-05-23,0.003824
2018-05-24,0.003564
2018-05-25,0.003557
2018-05-26,0.003480
2018-05-27,0.003443
2018-05-28,0.003404
2018-05-29,0.003190
2018-05-30,0.003427
2018-05-31,0.003406
2018-06-01,0.003408
2018-06-02,0.003420
2018-06-03,0.003558
2018-06-04,0.003658
2018-06-05,0.003548
2018-06-06,0.003657
2018-06-07,0.003681
2018-06-08,0.003740
2018-06-09,0.003665
2018-06-10,0.003623
2018-06-11,0.003162
2018-06-12,0.003175
2018-06-13,0.003042
2018-06-14,0.002737
2018-06-15,0.002947
2018-06-16,0.002925
