Date,Price
2017-09-14,0.001988
2017-09-15,0.001427
2017-09-16,0.001801
2017-09-17,0.001831
2017-09-18,0.003331
2017-09-19,0.003258
2017-09-20,0.002217
2017-09-21,0.002645
2017-09-22,0.002080
2017-09-23,0.001951
2017-09-24,0.002345
2017-09-25,0.002258
2017-09-26,0.001777
2017-09-27,0.001738
2017-09-28,0.002565
2017-09-29,0.002914
2017-09-30,0.001983
2017-10-01,0.002352
2017-10-02,0.001842
2017-10-03,0.002764
2017-10-04,0.002432
2017-10-05,0.003170
2017-10-06,0.003410
2017-10-07,0.002981
2017-10-08,0.002408
2017-10-09,0.002543
2017-10-10,0.002149
2017-10-11,0.002213
2017-10-12,0.002470
2017-10-13,0.002940
2017-10-14,0.002299
2017-10-15,0.002375
2017-10-16,0.002202
2017-10-17,0.002134
2017-10-18,0.001963
2017-10-19,0.002102
2017-10-20,0.001935
2017-10-21,0.001935
2017-10-22,0.002348
2017-10-23,0.002598
2017-10-24,0.002445
2017-10-25,0.002648
2017-10-26,0.002974
2017-10-27,0.002853
2017-10-28,0.003041
2017-10-29,0.002989
2017-10-30,0.002954
2017-10-31,0.002733
2017-11-01,0.002772
2017-11-02,0.002502
2017-11-03,0.002356
2017-11-04,0.002235
2017-11-05,0.002141
2017-11-06,0.002290
2017-11-07,0.002119
2017-11-08,0.002202
2017-11-09,0.002309
2017-11-10,0.002359
2017-11-11,0.001984
2017-11-12,0.001909
2017-11-13,0.001857
2017-11-14,0.002165
2017-11-15,0.002409
2017-11-16,0.002350
2017-11-17,0.002194
2017-11-18,0.001949
2017-11-19,0.001963
2017-11-20,0.002017
2017-11-21,0.002140
2017-11-22,0.002132
2017-11-23,0.002388
2017-11-24,0.002043
2017-11-25,0.001995
2017-11-26,0.002037
2017-11-27,0.002146
2017-11-28,0.001989
2017-11-29,0.002258
2017-11-30,0.001999
2017-12-01,0.002098
2017-12-02,0.002024
2017-12-03,0.001991
2017-12-04,0.002024
2017-12-05,0.002092
2017-12-06,0.002053
2017-12-07,0.002605
2017-12-08,0.003674
2017-12-09,0.004074
2017-12-10,0.004057
2017-12-11,0.004223
2017-12-12,0.005017
2017-12-13,0.007068
2017-12-14,0.015085
2017-12-15,0.016328
2017-12-16,0.017207
2017-12-17,0.035802
2017-12-18,0.034870
2017-12-19,0.045239
2017-12-20,0.042221
2017-12-21,0.047615
2017-12-22,0.045191
2017-12-23,0.035265
2017-12-24,0.047863
2017-12-25,0.035703
2017-12-26,0.031468
2017-12-27,0.037077
2017-12-28,0.035822
2017-12-29,0.039764
2017-12-30,0.035538
2017-12-31,0.035449
2018-01-01,0.044593
2018-01-02,0.051216
2018-01-03,0.079098
2018-01-04,0.094256
2018-01-05,0.207245
2018-01-06,0.214308
2018-01-07,0.174067
2018-01-08,0.193414
2018-01-09,0.151785
2018-01-10,0.121094
2018-01-11,0.127752
2018-01-12,0.109646
2018-01-13,0.108794
2018-01-14,0.103399
2018-01-15,0.083768
2018-01-16,0.076340
2018-01-17,0.054023
2018-01-18,0.075710
2018-01-19,0.082511
2018-01-20,0.080025
2018-01-21,0.086363
2018-01-22,0.071196
2018-01-23,0.072499
2018-01-24,0.068373
2018-01-25,0.068506
2018-01-26,0.069135
2018-01-27,0.066178
2018-01-28,0.068715
2018-01-29,0.066136
2018-01-30,0.064577
2018-01-31,0.053864
2018-02-01,0.054748
2018-02-02,0.046496
2018-02-03,0.041322
2018-02-04,0.045515
2018-02-05,0.038291
2018-02-06,0.029864
2018-02-07,0.036485
2018-02-08,0.033119
2018-02-09,0.037073
2018-02-10,0.046631
2018-02-11,0.048614
