Date,Price
2017-09-14,0.015344
2017-09-15,0.011078
2017-09-16,0.011938
2017-09-17,0.011686
2017-09-18,0.011216
2017-09-19,0.013428
2017-09-20,0.011783
2017-09-21,0.012203
2017-09-22,0.010534
2017-09-23,0.010815
2017-09-24,0.011895
2017-09-25,0.011614
2017-09-26,0.012081
2017-09-27,0.012369
2017-09-28,0.014469
2017-09-29,0.013864
2017-09-30,0.013039
2017-10-01,0.013749
2017-10-02,0.013590
2017-10-03,0.012875
2017-10-04,0.012456
2017-10-05,0.011834
2017-10-06,0.014456
2017-10-07,0.018278
2017-10-08,0.020753
2017-10-09,0.018689
2017-10-10,0.017563
2017-10-11,0.018636
2017-10-12,0.019403
2017-10-13,0.017850
2017-10-14,0.017949
2017-10-15,0.017444
2017-10-16,0.018815
2017-10-17,0.036287
2017-10-18,0.045798
2017-10-19,0.035077
2017-10-20,0.031032
2017-10-21,0.026788
2017-10-22,0.037052
2017-10-23,0.031081
2017-10-24,0.033930
2017-10-25,0.037093
2017-10-26,0.034891
2017-10-27,0.034646
2017-10-28,0.034125
2017-10-29,0.030914
2017-10-30,0.029875
2017-10-31,0.031448
2017-11-01,0.028877
2017-11-02,0.027364
2017-11-03,0.027595
2017-11-04,0.027804
2017-11-05,0.027272
2017-11-06,0.026656
2017-11-07,0.029137
2017-11-08,0.030953
2017-11-09,0.033973
2017-11-10,0.040698
2017-11-11,0.033260
2017-11-12,0.032982
2017-11-13,0.028572
2017-11-14,0.030880
2017-11-15,0.036993
2017-11-16,0.037697
2017-11-17,0.037110
2017-11-18,0.035434
2017-11-19,0.036500
2017-11-20,0.036263
2017-11-21,0.037804
2017-11-22,0.037748
2017-11-23,0.042479
2017-11-24,0.040649
2017-11-25,0.040539
2017-11-26,0.044118
2017-11-27,0.049250
2017-11-28,0.061345
2017-11-29,0.081302
2017-11-30,0.065451
2017-12-01,0.073441
2017-12-02,0.089171
2017-12-03,0.094114
2017-12-04,0.089494
2017-12-05,0.097621
2017-12-06,0.124309
2017-12-07,0.152018
2017-12-08,0.131665
2017-12-09,0.136162
2017-12-10,0.133891
2017-12-11,0.115485
2017-12-12,0.143714
2017-12-13,0.151095
2017-12-14,0.146046
2017-12-15,0.180857
2017-12-16,0.195583
2017-12-17,0.231755
2017-12-18,0.265601
2017-12-19,0.274780
2017-12-20,0.262218
2017-12-21,0.254483
2017-12-22,0.251774
2017-12-23,0.209637
2017-12-24,0.225231
2017-12-25,0.217607
2017-12-26,0.224153
2017-12-27,0.225818
2017-12-28,0.227528
2017-12-29,0.221557
2017-12-30,0.320156
2017-12-31,0.316529
2018-01-01,0.360754
2018-01-02,0.477893
2018-01-03,0.553981
2018-01-04,0.889032
2018-01-05,0.719762
2018-01-06,0.661663
2018-01-07,0.703650
2018-01-08,0.704666
2018-01-09,0.629415
2018-01-10,0.587134
2018-01-11,0.567248
2018-01-12,0.557783
2018-01-13,0.677789
2018-01-14,0.674314
2018-01-15,0.626778
2018-01-16,0.597502
2018-01-17,0.443846
2018-01-18,0.474314
2018-01-19,0.499787
2018-01-20,0.501884
2018-01-21,0.537011
2018-01-22,0.459448
2018-01-23,0.486087
2018-01-24,0.483627
2018-01-25,0.485129
2018-01-26,0.610892
2018-01-27,0.634060
2018-01-28,0.616197
2018-01-29,0.626638
2018-01-30,0.583510
2018-01-31,0.481242
2018-02-01,0.533150
2018-02-02,0.454200
2018-02-03,0.405138
2018-02-04,0.442272
2018-02-05,0.382744
2018-02-06,0.320945
2018-02-07,0.365927
2018-02-08,0.337604
2018-02-09,0.359645
2018-02-10,0.390357
2018-02-11,0.393874
2018-02-12,0.362265
2018-02-13,0.384611
