Date,Price
2017-09-14,111.132000
2017-09-15,82.656100
2017-09-16,99.838200
2017-09-17,95.064500
2017-09-18,93.918000
2017-09-19,100.468000
2017-09-20,98.193800
2017-09-21,95.385800
2017-09-22,86.350500
2017-09-23,88.370900
2017-09-24,91.811600
2017-09-25,89.640300
2017-09-26,93.596200
2017-09-27,93.135800
2017-09-28,101.397000
2017-09-29,97.137000
2017-09-30,94.182662
2017-10-01,95.853252
2017-10-02,93.355767
2017-10-03,91.497818
2017-10-04,92.962292
2017-10-05,90.099049
2017-10-06,91.632756
2017-10-07,91.129141
2017-10-08,91.234291
2017-10-09,89.642746
2017-10-10,85.465340
2017-10-11,86.922181
2017-10-12,87.225882
2017-10-13,87.264524
2017-10-14,95.006926
2017-10-15,99.613554
2017-10-16,94.363225
2017-10-17,95.328177
2017-10-18,91.518359
2017-10-19,90.058727
2017-10-20,88.220197
2017-10-21,90.106303
2017-10-22,88.132221
2017-10-23,86.885480
2017-10-24,85.892909
2017-10-25,88.533402
2017-10-26,88.212678
2017-10-27,88.650307
2017-10-28,86.828433
2017-10-29,86.130763
2017-10-30,88.151143
2017-10-31,88.261833
2017-11-01,87.456608
2017-11-02,85.566479
2017-11-03,83.787581
2017-11-04,87.795184
2017-11-05,87.070648
2017-11-06,86.464996
2017-11-07,102.904612
2017-11-08,100.129688
2017-11-09,114.026884
2017-11-10,120.893081
2017-11-11,105.701964
2017-11-12,119.273988
2017-11-13,123.279961
2017-11-14,123.826695
2017-11-15,123.757929
2017-11-16,122.006201
2017-11-17,120.177299
2017-11-18,126.273812
2017-11-19,130.824567
2017-11-20,128.919401
2017-11-21,135.877480
2017-11-22,141.598184
2017-11-23,166.001421
2017-11-24,158.804367
2017-11-25,161.335044
2017-11-26,169.354845
2017-11-27,163.692144
2017-11-28,173.554124
2017-11-29,204.725588
2017-11-30,166.161162
2017-12-01,181.800560
2017-12-02,189.870103
2017-12-03,200.998788
2017-12-04,200.739742
2017-12-05,208.461238
2017-12-06,266.170252
2017-12-07,280.701683
2017-12-08,276.158472
2017-12-09,272.783246
2017-12-10,259.928715
2017-12-11,246.385076
2017-12-12,277.613129
2017-12-13,300.480793
2017-12-14,301.704862
2017-12-15,323.756193
2017-12-16,311.083780
2017-12-17,325.129898
2017-12-18,350.382317
2017-12-19,377.421247
2017-12-20,376.029148
2017-12-21,521.451449
2017-12-22,444.585110
2017-12-23,343.029110
2017-12-24,374.687799
2017-12-25,327.482730
2017-12-26,336.973964
2017-12-27,380.111638
2017-12-28,419.511399
2017-12-29,378.140171
2017-12-30,376.164714
2017-12-31,328.065124
2018-01-01,348.295373
2018-01-02,358.476684
2018-01-03,381.066332
2018-01-04,410.835738
2018-01-05,370.450775
2018-01-06,356.035379
2018-01-07,391.243784
2018-01-08,399.584265
2018-01-09,434.157123
2018-01-10,533.571155
2018-01-11,445.836327
2018-01-12,389.712631
2018-01-13,450.793585
2018-01-14,465.984993
2018-01-15,422.264711
2018-01-16,447.162905
2018-01-17,327.366819
2018-01-18,329.896517
2018-01-19,323.263743
2018-01-20,380.920072
2018-01-21,412.301623
2018-01-22,357.817663
2018-01-23,325.528000
2018-01-24,309.976606
2018-01-25,310.518718
2018-01-26,319.389312
2018-01-27,325.946551
2018-01-28,329.286404
2018-01-29,336.159930
2018-01-30,319.383966
2018-01-31,275.652068
2018-02-01,275.518663
2018-02-02,242.793162
2018-02-03,234.590824
2018-02-04,250.676699
2018-02-05,221.275451
2018-02-06,179.296150
2018-02-07,212.174643
2018-02-08,206.460516
2018-02-09,247.655737
2018-02-10,256.519846
2018-02-11,250.976296
2018-02-12,231.303629
2018-02-13,247.227073
2018-02-14,235.510252
2018-02-15,275.925786
2018-02-16,302.086308
2018-02-17,296.990637
2018-02-18,325.663461
2018-02-19,302.256103
2018-02-20,318.311317
2018-02-21,307.869875
2018-02-22,321.813767
2018-02-23,283.325247
2018-02-24,287.582961
2018-02-25,277.517987
2018-02-26,282.861701
2018-02-27,295.164690
2018-02-28,303.697164
2018-03-01,287.794225
2018-03-02,313.631015
2018-03-03,345.009887
2018-03-04,353.286958
2018-03-05,367.948477
2018-03-06,372.623106
2018-03-07,345.110807
2018-03-08,339.067465
2018-03-09,279.730826
2018-03-10,286.058824
2018-03-11,261.899405
2018-03-12,280.898039
2018-03-13,260.405191
2018-03-14,248.300229
2018-03-15,215.306780
2018-03-16,213.663741
2018-03-17,215.507087
2018-03-18,197.604888
2018-03-19,208.604102
2018-03-20,216.636362
2018-03-21,223.024365
2018-03-22,219.103895
2018-03-23,212.740000
2018-03-24,213.778456
2018-03-25,208.872311
2018-03-26,211.960136
2018-03-27,197.266929
2018-03-28,188.574444
2018-03-29,199.027637
2018-03-30,178.171021
2018-03-31,172.692559
2018-04-01,179.362451
2018-04-02,175.077719
2018-04-03,176.805670
2018-04-04,189.892567
2018-04-05,170.904855
2018-04-06,173.059292
2018-04-07,162.309149
2018-04-08,169.796091
2018-04-09,173.613186
2018-04-10,166.405020
2018-04-11,166.082692
2018-04-12,168.538739
2018-04-13,189.573819
2018-04-14,188.894716
2018-04-15,188.802801
2018-04-16,199.909425
2018-04-17,193.975230
2018-04-18,195.770298
2018-04-19,228.270094
2018-04-20,238.515546
2018-04-21,269.259795
2018-04-22,256.146512
2018-04-23,270.196283
2018-04-24,282.559447
2018-04-25,294.919917
2018-04-26,256.337515
2018-04-27,268.180618
2018-04-28,251.350110
2018-04-29,260.372376
2018-04-30,256.082841
2018-05-01,241.551382
2018-05-02,239.996683
2018-05-03,249.599877
2018-05-04,245.706763
2018-05-05,242.138456
2018-05-06,241.463155
2018-05-07,236.034467
2018-05-08,233.549345
2018-05-09,223.467107
2018-05-10,227.107705
2018-05-11,218.294724
2018-05-12,199.474977
2018-05-13,203.617086
2018-05-14,209.475901
2018-05-15,215.345107
2018-05-16,205.372805
2018-05-17,199.189918
2018-05-18,193.393629
2018-05-19,204.496290
2018-05-20,197.344098
2018-05-21,203.076058
2018-05-22,198.358487
2018-05-23,176.813915
2018-05-24,171.411790
2018-05-25,171.481737
2018-05-26,165.019362
2018-05-27,164.621219
2018-05-28,166.177757
2018-05-29,150.136818
2018-05-30,157.901415
2018-05-31,155.152245
2018-06-01,155.993255
2018-06-02,157.576985
2018-06-03,161.870560
2018-06-04,168.779798
2018-06-05,160.187369
2018-06-06,166.847271
2018-06-07,162.159007
2018-06-08,163.761537
2018-06-09,158.911970
2018-06-10,157.401439
2018-06-11,140.124239
2018-06-12,136.255526
2018-06-13,124.940792
2018-06-14,121.013233
2018-06-15,132.263303
2018-06-16,124.442984
2018-06-17,126.893242
2018-06-18,123.936328
2018-06-19,127.160118
2018-06-20,125.582814
2018-06-21,122.338656
2018-06-22,123.385215
2018-06-23,110.762367
2018-06-24,115.025240
2018-06-25,121.354668
2018-06-26,126.869042
2018-06-27,122.120034
2018-06-28,128.333214
2018-06-29,117.082477
2018-06-30,122.837385
2018-07-01,130.179290
2018-07-02,129.635000
2018-07-03,139.840354
2018-07-04,139.531269
2018-07-05,140.544353
2018-07-06,137.826012
2018-07-07,133.244186
2018-07-08,131.837075
2018-07-09,138.688452
2018-07-10,136.291611
2018-07-11,122.350713
2018-07-12,124.532461
2018-07-13,119.054599
2018-07-14,121.966487
2018-07-15,122.791613
2018-07-16,123.941608
2018-07-17,133.932521
2018-07-18,144.601764
2018-07-19,138.797602
2018-07-20,139.309974
2018-07-21,130.036811
2018-07-22,132.309085
2018-07-23,127.833630
2018-07-24,133.779099
2018-07-25,144.113951
2018-07-26,142.682281
2018-07-27,136.584201
2018-07-28,140.182144
2018-07-29,139.355929
2018-07-30,135.017562
2018-07-31,131.656409
2018-08-01,122.312466
2018-08-02,128.080450
2018-08-03,122.789195
2018-08-04,120.191888
2018-08-05,114.020048
2018-08-06,117.261535
2018-08-07,113.459482
2018-08-08,108.129094
2018-08-09,94.557832
2018-08-10,100.722163
2018-08-11,91.865928
2018-08-12,93.486748
2018-08-13,93.477297
2018-08-14,88.403162
2018-08-15,84.016971
2018-08-16,89.837600
2018-08-17,91.150120
2018-08-18,99.600712
2018-08-19,98.354380
2018-08-20,98.604702
2018-08-21,93.624897
2018-08-22,94.893001
2018-08-23,90.228294
2018-08-24,90.080721
2018-08-25,93.770617
2018-08-26,92.520408
2018-08-27,95.075734
2018-08-28,104.426274
2018-08-29,107.483969
2018-08-30,103.554497
2018-08-31,102.580822
2018-09-01,116.227543
2018-09-02,121.272933
2018-09-03,121.173692
2018-09-04,135.447459
2018-09-05,137.817448
2018-09-06,114.805451
2018-09-07,117.722241
2018-09-08,112.177281
2018-09-09,104.373088
2018-09-10,106.105042
2018-09-11,105.890544
2018-09-12,105.753098
2018-09-13,104.628687
2018-09-14,112.120657
2018-09-15,117.207133
2018-09-16,119.498320
2018-09-17,117.196181
2018-09-18,107.291021
2018-09-19,112.544618
2018-09-20,109.736499
2018-09-21,115.926371
2018-09-22,123.607474
2018-09-23,122.365761
2018-09-24,122.591330
2018-09-25,115.088256
2018-09-26,116.285853
2018-09-27,115.184814
2018-09-28,118.741834
2018-09-29,117.093508
2018-09-30,114.780299
2018-10-01,115.776379
2018-10-02,114.638941
2018-10-03,116.712741
2018-10-04,114.656654
2018-10-05,114.444619
