Date,Price
2017-09-14,0.201097
2017-09-15,0.164177
2017-09-16,0.182051
2017-09-17,0.178914
2017-09-18,0.178337
2017-09-19,0.189366
2017-09-20,0.183826
2017-09-21,0.182153
2017-09-22,0.171148
2017-09-23,0.173713
2017-09-24,0.178050
2017-09-25,0.175581
2017-09-26,0.181683
2017-09-27,0.186778
2017-09-28,0.203187
2017-09-29,0.196105
2017-09-30,0.192910
2017-10-01,0.196832
2017-10-02,0.206861
2017-10-03,0.202622
2017-10-04,0.202830
2017-10-05,0.215076
2017-10-06,0.237205
2017-10-07,0.233687
2017-10-08,0.237680
2017-10-09,0.280030
2017-10-10,0.250422
2017-10-11,0.260664
2017-10-12,0.264444
2017-10-13,0.249630
2017-10-14,0.258986
2017-10-15,0.257845
2017-10-16,0.263690
2017-10-17,0.255946
2017-10-18,0.232413
2017-10-19,0.218725
2017-10-20,0.214110
2017-10-21,0.209861
2017-10-22,0.210777
2017-10-23,0.203587
2017-10-24,0.197663
2017-10-25,0.206905
2017-10-26,0.204008
2017-10-27,0.203716
2017-10-28,0.202294
2017-10-29,0.201389
2017-10-30,0.202025
2017-10-31,0.201970
2017-11-01,0.200050
2017-11-02,0.193735
2017-11-03,0.208594
2017-11-04,0.207942
2017-11-05,0.203550
2017-11-06,0.202377
2017-11-07,0.206487
2017-11-08,0.211300
2017-11-09,0.216963
2017-11-10,0.217152
2017-11-11,0.206114
2017-11-12,0.210389
2017-11-13,0.197986
2017-11-14,0.203411
2017-11-15,0.208716
2017-11-16,0.212865
2017-11-17,0.226273
2017-11-18,0.226376
2017-11-19,0.227299
2017-11-20,0.230655
2017-11-21,0.238233
2017-11-22,0.232177
2017-11-23,0.238220
2017-11-24,0.243257
2017-11-25,0.244384
2017-11-26,0.253179
2017-11-27,0.249294
2017-11-28,0.254981
2017-11-29,0.296761
2017-11-30,0.239000
2017-12-01,0.250851
2017-12-02,0.254612
2017-12-03,0.255973
2017-12-04,0.252029
2017-12-05,0.252609
2017-12-06,0.244717
2017-12-07,0.231632
2017-12-08,0.218235
2017-12-09,0.249582
2017-12-10,0.241851
2017-12-11,0.234844
2017-12-12,0.249785
2017-12-13,0.366435
2017-12-14,0.470272
2017-12-15,0.857763
2017-12-16,0.755427
